OBJECTID,Record_ID,Year_Obs,Source,Mangement,LOCDETAILS,GENERALCOMS,x,y
1,4808210,2015,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-80503.895099999994272,186452.759699999995064
2,4808211,2015,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-80503.895099999994272,186452.759699999995064
3,4808212,2015,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-80503.895099999994272,186452.759699999995064
4,5012125,2017,USFS,SHASTA TRINITY NATIONAL FOREST,NA,R5 Stream Condition Inventory  FINAL v. 5.0 (2005),-295170.362399999983609,299277.441099999996368
5,4872647,2012,USFS,TAHOE NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-94125.318400000003749,152842.474500000011176
6,4872656,2012,USFS,TAHOE NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-94125.318400000003749,152842.474500000011176
7,4874093,2016,USFS,TAHOE NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-69082.892900000006193,123337.373099999997066
8,4874094,2016,USFS,TAHOE NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-69082.892900000006193,123337.373099999997066
9,4934353,2011,USFS,SIX RIVERS NATIONAL FOREST,NA,R6 Pacific Northwest Stream Inventory Handbook  v. 2.9(2009),-335274.277300000016112,438222.744000000006054
10,4934354,2011,USFS,SIX RIVERS NATIONAL FOREST,NA,R6 Pacific Northwest Stream Inventory Handbook  v. 2.9(2009),-335274.277300000016112,438222.744000000006054
11,4912124,2012,USFS,TAHOE NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-94389.775200000003679,152984.410999999992782
12,4912879,2012,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-88562.432300000000396,215364.207800000003772
13,4912880,2012,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-88562.432300000000396,215364.207800000003772
14,4912873,2012,USFS,KLAMATH NATIONAL FOREST,NA,Incidental Observation,-285525.065999999991618,373989.207300000009127
15,4912876,2011,USFS,KLAMATH NATIONAL FOREST,NA,Incidental Observation,-285525.065999999991618,373989.207300000009127
16,4913061,2015,USFS,TAHOE NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-67354.074600000007194,125558.334099999992759
17,4913058,2015,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-88053.039499999998952,216934.167400000005728
18,4913063,2016,USFS,TAHOE NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-67354.074600000007194,125558.334099999992759
19,4912181,2015,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-86947.855400000000373,215283.193499999993946
20,4912182,2015,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-86947.855400000000373,215283.193499999993946
21,4912183,2015,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-86947.855400000000373,215283.193499999993946
22,4912184,2015,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-86947.855400000000373,215283.193499999993946
23,4912187,2016,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-88518.894299999999930,215962.853999999992084
24,4912207,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-86856.277799999996205,215175.736200000013923
25,4912535,2012,USFS,TAHOE NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-96377.892200000002049,154135.852299999998650
26,4916699,2016,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-92942.722099999999045,218191.149499999999534
27,4916698,2016,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-92942.722099999999045,218191.149499999999534
28,4916704,2016,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-92942.722099999999045,218191.149499999999534
29,4916706,2016,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-92942.722099999999045,218191.149499999999534
30,4916707,2016,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-92942.722099999999045,218191.149499999999534
31,4917118,2011,USFS,TAHOE NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-77954.515700000003562,136245.647900000010850
32,4917119,2011,USFS,TAHOE NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-77954.515700000003562,136245.647900000010850
33,4917122,2011,USFS,TAHOE NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-77954.515700000003562,136245.647900000010850
34,4916464,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-92731.371299999998882,218300.086600000009639
35,4917124,2011,USFS,TAHOE NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-77954.515700000003562,136245.647900000010850
36,4916481,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-92998.649600000004284,218301.916399999987334
37,4916479,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-92998.649600000004284,218301.916399999987334
